appid,evidence_type,date_classification,url,title,snippet,contents_preview,matched_keywords,evidence_score,confidence_label,reason_for_score,query_group
5072600,youtube_video,inside_spike_window,https://www.youtube.com/watch?v=diGhwpzCEwc,Family Time Dev Part 8 - Piggies And Damage Mechanics!,,Wishlist: https://store.steampowered.com/app/5072600/Family_Time/ Try the demo and see more videos here: ...,demo,85,strong,Inside spike window (+30); YouTube (+15); Exact title match (+20); Keywords ['demo'] (+20),
5072600,youtube_video,inside_extended_window,https://www.youtube.com/watch?v=TjPPjFEpJsA,Family Time Dev - Wolf Mama and Chicken Husbandry!,,Wishlist: https://store.steampowered.com/app/5072600/Family_Time/ Try the demo and see more videos here: ...,demo,70,strong,Inside extended window (+15); YouTube (+15); Exact title match (+20); Keywords ['demo'] (+20),
5072600,youtube_video,inside_extended_window,https://www.youtube.com/watch?v=TjPPjFEpJsA,Family Time Dev - Wolf Mama and Chicken Husbandry!,,Wishlist: https://store.steampowered.com/app/5072600/Family_Time/ Try the demo and see more videos here: ...,demo,70,strong,Inside extended window (+15); YouTube (+15); Exact title match (+20); Keywords ['demo'] (+20),
5072600,youtube_video,inside_extended_window,https://www.youtube.com/watch?v=PtlE_h6EqOE,I&#39;M A FATHER?!?!?!?! | Family Time Tech Demo 1,,https://www.patreon.com/AquadudeVT?utm_campaign=creatorshare_creator Creator patreon: ...,demo,70,strong,Inside extended window (+15); YouTube (+15); Exact title match (+20); Keywords ['demo'] (+20),
5072600,youtube_video,inside_extended_window,https://www.youtube.com/watch?v=TjPPjFEpJsA,Family Time Dev - Wolf Mama and Chicken Husbandry!,,Wishlist: https://store.steampowered.com/app/5072600/Family_Time/ Try the demo and see more videos here: ...,demo,70,strong,Inside extended window (+15); YouTube (+15); Exact title match (+20); Keywords ['demo'] (+20),
5072600,youtube_video,inside_extended_window,https://www.youtube.com/watch?v=GtqraRDjiqk,WOLF MAMA | Family Time Tech Demo Episode 2,,wholesome #cute #vtuber #gaming #letsplay #demo #familytime #indiegame #funny #aquadudevt ...,demo,70,strong,Inside extended window (+15); YouTube (+15); Exact title match (+20); Keywords ['demo'] (+20),
5072600,youtube_video,inside_extended_window,https://www.youtube.com/watch?v=PtlE_h6EqOE,I&#39;M A FATHER?!?!?!?! | Family Time Tech Demo 1,,https://www.patreon.com/AquadudeVT?utm_campaign=creatorshare_creator Creator patreon: ...,demo,70,strong,Inside extended window (+15); YouTube (+15); Exact title match (+20); Keywords ['demo'] (+20),
5072600,youtube_video,inside_extended_window,https://www.youtube.com/watch?v=exRQ1jLnRpc,Family Time Development 7/11/26 - Uppies and Food Mechanics!,,Try the demo and see more videos here: https://tinyurl.com/fmlytm.,demo,70,strong,Inside extended window (+15); YouTube (+15); Exact title match (+20); Keywords ['demo'] (+20),
5072600,youtube_video,outside_window,https://www.youtube.com/watch?v=QygSmOeKbJU,Family Time S01 - Trailer,,Anthony and Lisa Stallworth are the parents of a working-class family who suddenly get bumped to the middle-class by a winning ...,trailer,55,medium,YouTube (+15); Exact title match (+20); Keywords ['trailer'] (+20),
5072600,youtube_video,outside_window,https://www.youtube.com/watch?v=Hy56ql96xAU,"Family Time, Announcement!",,https://www.patreon.com/sgthale.,announcement,55,medium,YouTube (+15); Exact title match (+20); Keywords ['announcement'] (+20),
5072600,youtube_video,outside_window,https://www.youtube.com/watch?v=RizyGnn-_lY,Family Time (2023) | Trailer | Tia Kouvo | Tom Wentzel | Leena Uotila | Elina Knihtilä,,Subscribe to get all the latest content https://bit.ly/3mYsgne ▻ About Are you an arthouse film lover and wants to keep updated ...,trailer,55,medium,YouTube (+15); Exact title match (+20); Keywords ['trailer'] (+20),
5072600,youtube_video,outside_window,https://www.youtube.com/watch?v=Hy56ql96xAU,"Family Time, Announcement!",,https://www.patreon.com/sgthale.,announcement,55,medium,YouTube (+15); Exact title match (+20); Keywords ['announcement'] (+20),
5072600,youtube_video,outside_window,https://www.youtube.com/watch?v=Hy56ql96xAU,"Family Time, Announcement!",,https://www.patreon.com/sgthale.,announcement,55,medium,YouTube (+15); Exact title match (+20); Keywords ['announcement'] (+20),
5072600,youtube_video,inside_extended_window,https://www.youtube.com/watch?v=7Tsn6IsHRz8,Family Time Steam Update!,,Wishlist: https://tinyurl.com/ftswldd Play today: tinyurl.com/fmlytm X: https://x.com/DevShinobu.,,50,medium,Inside extended window (+15); YouTube (+15); Exact title match (+20),
